Algorithm,Threads,Size,Time
bitonic,1,1,0.000017
bitonic,1,2,0.000001
bitonic,1,4,0.000001
bitonic,1,8,0.000009
bitonic,1,16,0.000003
bitonic,1,32,0.000004
bitonic,1,64,0.000009
bitonic,1,128,0.000019
bitonic,1,256,0.000036
bitonic,1,512,0.000075
bitonic,1,1024,0.000156
bitonic,1,2048,0.000381
bitonic,1,4096,0.000831
bitonic,1,8192,0.001832
bitonic,1,16384,0.004018
bitonic,1,32768,0.008594
bitonic,1,65536,0.01854
bitonic,1,131072,0.03952
bitonic,1,262144,0.084084
bitonic,1,524288,0.18001
bitonic,1,1048576,0.381049
bitonic,1,2097152,0.805015
bitonic,1,4194304,1.719342
bitonic,1,8388608,3.645079
bitonic,1,16777216,7.641327
bitonic,1,33554432,16.284122
bitonic,1,67108864,34.143779
bitonic,1,134217728,71.784366
bitonic,2,1,0.000067
bitonic,2,2,0.000067
bitonic,2,4,0.000042
bitonic,2,8,0.000073
bitonic,2,16,0.000037
bitonic,2,32,0.000036
bitonic,2,64,0.000048
bitonic,2,128,0.000048
bitonic,2,256,0.000051
bitonic,2,512,0.000072
bitonic,2,1024,0.000108
bitonic,2,2048,0.000204
bitonic,2,4096,0.000428
bitonic,2,8192,0.000896
bitonic,2,16384,0.002878
bitonic,2,32768,0.004459
bitonic,2,65536,0.008783
bitonic,2,131072,0.018882
bitonic,2,262144,0.040222
bitonic,2,524288,0.085298
bitonic,2,1048576,0.182421
bitonic,2,2097152,0.397612
bitonic,2,4194304,0.823771
bitonic,2,8388608,1.792581
bitonic,2,16777216,3.685986
bitonic,2,33554432,7.741247
bitonic,2,67108864,16.427622
bitonic,2,134217728,34.511729
bitonic,3,1,0.000106
bitonic,3,2,0.000051
bitonic,3,4,0.000055
bitonic,3,8,0.000051
bitonic,3,16,0.000054
bitonic,3,32,0.000057
bitonic,3,64,0.000061
bitonic,3,128,0.000085
bitonic,3,256,0.000103
bitonic,3,512,0.00014
bitonic,3,1024,0.00026
bitonic,3,2048,0.00033
bitonic,3,4096,0.000662
bitonic,3,8192,0.001998
bitonic,3,16384,0.002852
bitonic,3,32768,0.005963
bitonic,3,65536,0.012429
bitonic,3,131072,0.026111
bitonic,3,262144,0.054678
bitonic,3,524288,0.116278
bitonic,3,1048576,0.24283
bitonic,3,2097152,0.512173
bitonic,3,4194304,1.086373
bitonic,3,8388608,2.330998
bitonic,3,16777216,4.753022
bitonic,3,33554432,9.917957
bitonic,3,67108864,20.711772
bitonic,3,134217728,43.071643
bitonic,4,1,0.000054
bitonic,4,2,0.000048
bitonic,4,4,0.000098
bitonic,4,8,0.000069
bitonic,4,16,0.00007
bitonic,4,32,0.000069
bitonic,4,64,0.000071
bitonic,4,128,0.000077
bitonic,4,256,0.000089
bitonic,4,512,0.00012
bitonic,4,1024,0.000205
bitonic,4,2048,0.00037
bitonic,4,4096,0.000772
bitonic,4,8192,0.001253
