Algorithm,Threads,Size,Time
quick,1,1,0.000001
quick,1,2,0.000001
quick,1,4,0.00000
quick,1,8,0.000001
quick,1,16,0.000002
quick,1,32,0.000003
quick,1,64,0.000004
quick,1,128,0.000007
quick,1,256,0.000014
quick,1,512,0.000028
quick,1,1024,0.000048
quick,1,2048,0.000091
quick,1,4096,0.000188
quick,1,8192,0.000387
quick,1,16384,0.000832
quick,1,32768,0.001794
quick,1,65536,0.003661
quick,1,131072,0.007663
quick,1,262144,0.015767
quick,1,524288,0.034167
quick,1,1048576,0.069523
quick,1,2097152,0.144377
quick,1,4194304,0.303086
quick,1,8388608,0.644987
quick,1,16777216,1.298045
quick,1,33554432,2.703968
quick,1,67108864,5.54328
quick,1,134217728,11.449989
quick,2,1,0.000047
quick,2,2,0.000042
quick,2,4,0.000035
quick,2,8,0.000034
quick,2,16,0.000034
quick,2,32,0.000043
quick,2,64,0.000038
quick,2,128,0.000035
quick,2,256,0.00004
quick,2,512,0.000058
quick,2,1024,0.000068
quick,2,2048,0.000102
quick,2,4096,0.000185
quick,2,8192,0.000323
quick,2,16384,0.000659
quick,2,32768,0.001696
quick,2,65536,0.002841
quick,2,131072,0.00585
quick,2,262144,0.012318
quick,2,524288,0.025574
quick,2,1048576,0.052756
quick,2,2097152,0.114079
quick,2,4194304,0.240123
quick,2,8388608,0.499765
quick,2,16777216,1.019803
quick,2,33554432,2.091859
quick,2,67108864,4.329634
quick,2,134217728,9.029519
quick,3,1,0.000032
quick,3,2,0.000024
quick,3,4,0.000058
quick,3,8,0.000047
quick,3,16,0.00005
quick,3,32,0.000051
quick,3,64,0.000054
quick,3,128,0.000059
quick,3,256,0.00006
quick,3,512,0.000058
quick,3,1024,0.000088
quick,3,2048,0.000107
quick,3,4096,0.000183
quick,3,8192,0.000387
quick,3,16384,0.000752
quick,3,32768,0.001764
quick,3,65536,0.003288
quick,3,131072,0.006783
quick,3,262144,0.011439
quick,3,524288,0.024578
quick,3,1048576,0.051498
quick,3,2097152,0.108943
quick,3,4194304,0.229966
quick,3,8388608,0.512242
quick,3,16777216,1.04559
quick,3,33554432,2.107552
quick,3,67108864,4.360926
quick,3,134217728,8.95275
quick,4,1,0.000033
quick,4,2,0.00003
quick,4,4,0.000071
quick,4,8,0.000069
quick,4,16,0.000072
quick,4,32,0.000069
quick,4,64,0.00007
quick,4,128,0.000073
quick,4,256,0.000078
quick,4,512,0.000086
quick,4,1024,0.000114
quick,4,2048,0.000152
quick,4,4096,0.000248
quick,4,8192,0.000445
quick,4,16384,0.000689
quick,4,32768,0.001617
quick,4,65536,0.00288
quick,4,131072,0.006025
quick,4,262144,0.012368
quick,4,524288,0.024662
quick,4,1048576,0.048704
quick,4,2097152,0.098047
quick,4,4194304,0.205643
quick,4,8388608,0.456628
quick,4,16777216,0.93081
quick,4,33554432,1.924273
quick,4,67108864,3.92956
quick,4,134217728,8.123229
quick,5,1,0.000046
quick,5,2,0.000033
quick,5,4,0.000029
quick,5,8,0.000139
quick,5,16,0.000119
quick,5,32,0.000127
quick,5,64,0.000133
quick,5,128,0.000125
quick,5,256,0.000127
quick,5,512,0.000168
quick,5,1024,0.000181
quick,5,2048,0.000273
quick,5,4096,0.00037
quick,5,8192,0.000618
quick,5,16384,0.000878
quick,5,32768,0.001463
quick,5,65536,0.002964
quick,5,131072,0.007025
quick,5,262144,0.013389
quick,5,524288,0.026094
quick,5,1048576,0.050952
quick,5,2097152,0.105248
quick,5,4194304,0.234255
quick,5,8388608,0.510852
quick,5,16777216,1.082259
quick,5,33554432,2.205221
quick,5,67108864,4.514274
quick,5,134217728,9.205655
quick,6,1,0.000042
quick,6,2,0.000024
quick,6,4,0.000029
quick,6,8,0.000133
quick,6,16,0.000124
quick,6,32,0.000113
quick,6,64,0.000145
quick,6,128,0.00012
quick,6,256,0.000117
quick,6,512,0.000144
quick,6,1024,0.00015
quick,6,2048,0.000184
quick,6,4096,0.000248
quick,6,8192,0.000428
quick,6,16384,0.000723
quick,6,32768,0.001506
quick,6,65536,0.003532
quick,6,131072,0.005711
quick,6,262144,0.0129
quick,6,524288,0.023177
quick,6,1048576,0.049425
quick,6,2097152,0.102425
quick,6,4194304,0.214005
quick,6,8388608,0.503421
quick,6,16777216,1.017728
quick,6,33554432,2.08285
quick,6,67108864,4.263228
quick,6,134217728,8.697953
quick,7,1,0.000042
quick,7,2,0.000025
quick,7,4,0.000028
quick,7,8,0.000143
quick,7,16,0.000148
quick,7,32,0.000147
quick,7,64,0.000153
quick,7,128,0.000152
quick,7,256,0.000153
quick,7,512,0.000173
quick,7,1024,0.000182
quick,7,2048,0.000216
quick,7,4096,0.000353
quick,7,8192,0.000516
quick,7,16384,0.000809
quick,7,32768,0.001364
quick,7,65536,0.003222
quick,7,131072,0.006575
quick,7,262144,0.011094
quick,7,524288,0.025136
quick,7,1048576,0.048738
quick,7,2097152,0.10178
quick,7,4194304,0.212211
quick,7,8388608,0.503505
quick,7,16777216,1.03459
quick,7,33554432,2.100626
quick,7,67108864,4.275327
quick,7,134217728,8.74637
quick,8,1,0.000034
quick,8,2,0.000023
quick,8,4,0.000045
quick,8,8,0.000164
quick,8,16,0.000174
quick,8,32,0.000162
quick,8,64,0.00016
quick,8,128,0.000171
quick,8,256,0.000153
quick,8,512,0.000222
quick,8,1024,0.000201
quick,8,2048,0.00024
quick,8,4096,0.000342
quick,8,8192,0.000517
quick,8,16384,0.000797
quick,8,32768,0.00177
quick,8,65536,0.003362
quick,8,131072,0.006153
quick,8,262144,0.011746
quick,8,524288,0.022598
quick,8,1048576,0.046599
quick,8,2097152,0.095335
quick,8,4194304,0.199811
quick,8,8388608,0.47784
quick,8,16777216,0.964909
quick,8,33554432,1.971878
quick,8,67108864,4.038742
quick,8,134217728,8.219133
quick,9,1,0.000028
quick,9,2,0.000025
quick,9,4,0.000026
quick,9,8,0.000028
quick,9,16,0.000181
quick,9,32,0.0002
quick,9,64,0.000177
quick,9,128,0.000208
quick,9,256,0.000176
quick,9,512,0.000214
quick,9,1024,0.000262
quick,9,2048,0.000277
quick,9,4096,0.000346
quick,9,8192,0.000546
quick,9,16384,0.000939
quick,9,32768,0.001647
quick,9,65536,0.003128
quick,9,131072,0.006687
quick,9,262144,0.013811
quick,9,524288,0.026473
quick,9,1048576,0.053566
quick,9,2097152,0.113697
quick,9,4194304,0.252398
quick,9,8388608,0.596189
quick,9,16777216,1.212008
quick,9,33554432,2.430135
quick,9,67108864,4.993876
quick,9,134217728,10.094655
quick,10,1,0.000044
quick,10,2,0.000026
quick,10,4,0.000028
quick,10,8,0.000028
quick,10,16,0.000195
quick,10,32,0.00021
quick,10,64,0.000224
quick,10,128,0.000217
quick,10,256,0.000205
quick,10,512,0.000247
quick,10,1024,0.000257
quick,10,2048,0.000298
quick,10,4096,0.000343
quick,10,8192,0.000559
quick,10,16384,0.000869
quick,10,32768,0.001521
quick,10,65536,0.003528
quick,10,131072,0.006458
quick,10,262144,0.012212
quick,10,524288,0.025965
quick,10,1048576,0.051073
quick,10,2097152,0.107011
quick,10,4194304,0.229435
quick,10,8388608,0.580582
quick,10,16777216,1.177014
quick,10,33554432,2.372334
quick,10,67108864,4.874977
quick,10,134217728,9.7776
quick,11,1,0.000031
quick,11,2,0.000026
quick,11,4,0.000023
quick,11,8,0.000027
quick,11,16,0.000231
quick,11,32,0.00024
quick,11,64,0.000244
quick,11,128,0.000222
quick,11,256,0.000202
quick,11,512,0.00024
quick,11,1024,0.000264
quick,11,2048,0.000331
quick,11,4096,0.000386
quick,11,8192,0.000604
quick,11,16384,0.000859
quick,11,32768,0.001801
quick,11,65536,0.003478
quick,11,131072,0.007029
quick,11,262144,0.013845
quick,11,524288,0.025664
quick,11,1048576,0.049831
quick,11,2097152,0.105033
quick,11,4194304,0.229743
quick,11,8388608,0.58259
quick,11,16777216,1.167854
quick,11,33554432,2.386061
quick,11,67108864,4.863508
quick,11,134217728,9.786149
quick,12,1,0.000043
quick,12,2,0.000024
quick,12,4,0.000028
quick,12,8,0.000027
quick,12,16,0.000248
quick,12,32,0.000257
quick,12,64,0.000284
quick,12,128,0.000241
quick,12,256,0.000291
quick,12,512,0.000256
quick,12,1024,0.00029
quick,12,2048,0.000288
quick,12,4096,0.000416
quick,12,8192,0.000563
